leagueRank,league,team,name,average,games,plateAppearances,atBats,runs,hits,doubles,triples,homeRuns,totalBases,rbi,stolenBases,caughtStealing,sacrificeHits,sacrificeFlies,walks,intentionalWalks,hitByPitch,strikeouts,doublePlays,sluggingPercentage,onBasePercentage
1,セ,阪神タイガース,佐藤 輝明,0.314,131,559,491,93,154,36,3,35,301,95,7,3,0,4,62,8,2,151,6,0.613,0.390
2,セ,阪神タイガース,森下 翔太,0.295,131,565,484,87,143,28,1,35,278,79,3,0,0,4,60,2,17,85,20,0.574,0.389
3,セ,読売ジャイアンツ,松本 剛,0.288,122,426,382,41,110,15,0,3,134,25,16,9,13,0,26,0,5,53,7,0.351,0.341
4,セ,横浜DeNAベイスターズ,度会 隆輝,0.285,125,472,431,60,123,21,1,9,173,49,5,5,1,1,30,1,9,66,8,0.401,0.344
5,セ,横浜DeNAベイスターズ,牧 秀悟,0.285,99,431,382,70,109,26,0,29,222,73,2,2,0,1,36,2,12,74,12,0.581,0.364
6,セ,阪神タイガース,中野 拓夢,0.280,131,532,468,55,131,13,1,0,146,21,8,4,25,3,34,0,2,76,6,0.312,0.329
7,セ,阪神タイガース,大山 悠輔,0.279,129,538,463,38,129,22,1,16,201,74,0,0,0,9,58,4,8,80,15,0.434,0.362
8,セ,読売ジャイアンツ,浦田 俊輔,0.271,118,474,420,47,114,12,2,0,130,27,36,12,10,4,32,1,8,59,4,0.310,0.332
9,セ,横浜DeNAベイスターズ,佐野 恵太,0.265,122,492,441,46,117,28,0,8,169,50,0,1,0,0,50,0,1,69,10,0.383,0.341
10,セ,読売ジャイアンツ,泉口 友汰,0.263,120,483,422,52,111,22,3,8,163,45,7,1,3,7,45,0,6,62,8,0.386,0.338
11,セ,中日ドラゴンズ,村松 開人,0.256,119,498,418,49,107,12,6,5,146,38,4,3,11,5,59,2,5,82,14,0.349,0.351
12,セ,読売ジャイアンツ,ダルベック,0.255,127,516,467,57,119,24,1,24,217,80,0,0,0,4,43,2,2,171,7,0.465,0.318
13,セ,東京ヤクルトスワローズ,岩田 幸宏,0.254,119,429,398,45,101,10,1,1,116,22,38,7,4,1,22,1,4,75,2,0.291,0.299
14,セ,東京ヤクルトスワローズ,長岡 秀樹,0.252,117,498,448,51,113,20,1,8,159,39,5,6,2,2,41,2,5,66,6,0.355,0.321
15,セ,東京ヤクルトスワローズ,サンタナ,0.250,123,440,372,43,93,25,0,17,169,45,0,0,0,3,62,5,3,118,9,0.454,0.359
16,セ,広島東洋カープ,坂倉 将吾,0.246,127,520,456,46,112,21,1,13,174,66,3,3,0,4,57,6,3,102,6,0.382,0.331
17,セ,広島東洋カープ,菊池 涼介,0.245,120,489,421,43,103,23,0,7,147,34,3,3,18,4,45,0,1,91,6,0.349,0.316
18,セ,中日ドラゴンズ,細川 成也,0.233,136,573,473,68,110,18,1,24,202,68,2,1,0,4,87,7,9,145,12,0.427,0.360
1,パ,北海道日本ハムファイターズ,レイエス,0.313,128,531,476,58,149,27,0,32,272,82,0,0,0,5,49,11,1,100,22,0.571,0.375
2,パ,福岡ソフトバンクホークス,近藤 健介,0.305,130,564,459,85,140,31,0,28,255,98,6,1,0,4,94,8,7,88,9,0.556,0.427
3,パ,オリックス・バファローズ,太田 椋,0.295,117,483,434,48,128,27,1,9,184,50,0,2,0,1,45,1,3,95,16,0.424,0.364
4,パ,福岡ソフトバンクホークス,柳田 悠岐,0.294,121,466,432,50,127,22,0,17,200,63,0,0,0,2,25,2,7,80,10,0.463,0.341
5,パ,千葉ロッテマリーンズ,西川 史礁,0.292,122,527,480,57,140,28,1,7,191,46,2,2,0,0,38,1,9,97,13,0.398,0.355
6,パ,福岡ソフトバンクホークス,牧原 大成,0.291,127,483,440,52,128,20,1,4,162,44,11,2,8,4,23,3,8,86,5,0.368,0.335
7,パ,北海道日本ハムファイターズ,水野 達稀,0.286,124,520,465,68,133,28,6,11,206,54,14,4,15,4,24,0,12,86,5,0.443,0.335
8,パ,福岡ソフトバンクホークス,正木 智也,0.283,95,451,385,74,109,13,1,27,205,58,0,0,0,3,57,3,6,83,6,0.532,0.381
9,パ,埼玉西武ライオンズ,滝澤 夏央,0.278,115,451,381,42,106,4,3,1,119,31,12,9,25,0,41,0,4,54,6,0.312,0.354
10,パ,福岡ソフトバンクホークス,周東 佑京,0.277,123,537,470,75,130,19,5,4,171,38,28,5,13,6,42,0,6,78,6,0.364,0.340
11,パ,東北楽天ゴールデンイーグルス,中島 大輔,0.276,113,411,366,52,101,22,3,5,144,25,10,2,10,2,30,0,3,47,7,0.393,0.334
12,パ,オリックス・バファローズ,西川 龍馬,0.276,135,579,540,61,149,31,0,13,219,54,1,3,1,4,33,2,1,82,21,0.406,0.317
13,パ,千葉ロッテマリーンズ,藤原 恭大,0.272,95,420,368,56,100,12,2,8,140,40,12,3,0,1,40,1,11,78,7,0.380,0.360
14,パ,東北楽天ゴールデンイーグルス,村林 一輝,0.268,125,494,444,38,119,16,2,4,151,55,6,2,4,5,39,5,2,77,21,0.340,0.327
